year,slug_game,country_3_letter_code_x,bronze_medals,gold_medals,silver_medals,total_medals,total_athletes,avg_age_athletes,medals_in_current_year,city,season,game_name,cumulative_medals,is_host
2008,beijing-2008,AFG,1,0,0,1,2,22.5,1,China,Summer,Beijing 2008,0.0,0
2012,london-2012,AFG,1,0,0,1,4,25.0,1,Great Britain,Summer,London 2012,1.0,0
1988,seoul-1988,AHO,0,0,1,1,3,25.25,1,Republic of Korea,Summer,Seoul 1988,2.0,0
1984,los-angeles-1984,ALG,2,0,0,2,11,25.818181818181817,2,United States,Summer,Los Angeles 1984,1.0,0
1992,barcelona-1992,ALG,1,1,0,2,22,24.136363636363637,2,Spain,Summer,Barcelona 1992,2.0,0
1996,atlanta-1996,ALG,1,2,0,3,25,23.464285714285715,3,United States,Summer,Atlanta 1996,4.0,0
2000,sydney-2000,ALG,3,1,1,5,33,24.91176470588235,5,Australia,Summer,Sydney 2000,7.0,0
2008,beijing-2008,ALG,1,0,1,2,39,25.46153846153846,2,China,Summer,Beijing 2008,12.0,0
2012,london-2012,ALG,0,1,0,1,24,25.0,1,Great Britain,Summer,London 2012,14.0,0
2016,rio-2016,ALG,0,0,2,2,35,26.263157894736842,2,Brazil,Summer,Rio 2016,15.0,0
1908,london-1908,ANZ,2,1,2,5,12,18.8,5,Great Britain,Summer,London 1908,17.0,0
1912,stockholm-1912,ANZ,3,2,2,7,15,25.214285714285715,7,Sweden,Summer,Stockholm 1912,5.0,0
1924,paris-1924,ARG,2,1,3,6,39,25.764705882352942,6,France,Summer,Paris 1924,12.0,0
1928,amsterdam-1928,ARG,1,3,3,7,32,21.714285714285715,7,Netherlands,Summer,Amsterdam 1928,6.0,0
1932,los-angeles-1932,ARG,0,3,1,4,27,26.72222222222222,4,United States,Summer,Los Angeles 1932,13.0,0
1936,berlin-1936,ARG,4,2,2,8,19,27.09090909090909,8,Germany,Summer,Berlin 1936,17.0,0
1948,london-1948,ARG,1,3,3,7,80,27.657894736842106,7,Great Britain,Summer,London 1948,25.0,0
1952,helsinki-1952,ARG,2,2,2,6,56,28.01492537313433,6,Finland,Summer,Helsinki 1952,32.0,0
1956,melbourne-1956,ARG,1,0,1,2,22,26.238095238095237,2,"Australia, Sweden",Summer,Melbourne 1956,38.0,0
1960,rome-1960,ARG,1,0,1,2,38,28.73170731707317,2,Italy,Summer,Rome 1960,40.0,0
1964,tokyo-1964,ARG,0,0,1,1,45,28.775510204081634,1,Japan,Summer,Tokyo 1964,42.0,0
1968,mexico-city-1968,ARG,2,0,0,2,38,25.46511627906977,2,Mexico,Summer,Mexico City 1968,43.0,0
1972,munich-1972,ARG,0,0,1,1,34,30.0,1,Federal Republic of Germany,Summer,Munich 1972,45.0,0
1988,seoul-1988,ARG,1,0,1,2,29,26.243243243243242,2,Republic of Korea,Summer,Seoul 1988,46.0,0
1992,barcelona-1992,ARG,2,0,0,2,43,25.4375,2,Spain,Summer,Barcelona 1992,48.0,0
1996,atlanta-1996,ARG,1,0,2,3,59,25.67142857142857,3,United States,Summer,Atlanta 1996,50.0,0
